gene_id,091304_G,091305_G,091301_G,090902_G,042008_G,042005_G,042004_G,042002_G,042001_G
g1460.t1,0,0,0,0,1,0,0,0,0
g14600.t1,0,0,0,0,0,0,0,0,0
g14601.t1,0,0,0,0,0,0,0,0,0
g14602.t1,2811,369,3198,2531,1213,1738,2259,2075,672
g14603.t1,10391,4130,19465,13031,6733,5439,6570,7173,2342
g14604.t1,25,0,84,0,20,6,21,12,51
g14605.t1,0,0,0,0,88,25,0,0,14
g14606.t1,195,255,734,703,807,406,562,482,1212
g14607.t1,0,0,0,0,0,0,0,0,0
g14608.t1,0,0,0,0,0,0,0,0,0
g14609.t1,0,0,0,0,0,0,0,0,0
g1461.t1,74,0,66,68,162,83,56,222,144
g14610.t1,0,0,0,0,0,0,0,0,4
g14611.t1,0,0,0,0,0,0,0,0,0
g14612.t1,0,0,0,0,0,0,0,0,0
g14613.t1,14,57,110,56,44,87,107,151,288
g14614.t1,1003,954,2060,1429,1289,2260,1304,1667,1804
g14615.t1,0,0,0,0,21,0,0,0,8
g14616.t1,684,513,2119,851,1420,1437,1818,1139,3413
g14617.t1,722,50,1185,597,1326,815,1584,897,1612
g14618.t1,0,0,0,0,0,0,0,0,2
g14619.t1,0,0,0,0,0,0,0,0,0
g1462.t1,538,18,1240,529,497,686,780,570,476
g14620.t1,0,0,0,0,0,0,0,0,5
g14621.t1,0,0,0,0,69,7,4,43,124
g14622.t1,0,0,16,0,58,65,53,39,209
g14623.t1,316,114,395,276,241,336,441,330,1830
g14624.t1,0,0,0,0,0,0,0,82,0
g14625.t1,2935,3841,5399,12589,3227,8697,6424,19771,561
g14626.t1,118,52,1070,216,1220,84,6,1086,375
g14627.t1,384,93,261,1011,1211,500,609,562,476
g14628.t1,255,25,92,802,698,218,274,294,168
g14629.t1,65,62,270,364,383,321,412,182,250
g1463.t1,0,0,0,4,0,0,0,0,0
g14630.t1,742,344,1772,1454,1335,1175,2174,1433,1665
g14631.t1,339,327,569,371,490,679,779,514,823
g14632.t1,2278,1751,6059,4410,7497,4948,5851,4541,3841
g14633.t1,0,0,0,55,8,15,50,25,8
g14634.t1,188,212,404,257,186,189,81,109,442
g14635.t1,0,0,0,0,166,48,0,28,15788
g14636.t1,0,0,252,196,438,460,513,545,758
g14637.t1,0,0,0,0,0,0,0,0,0
g14637.t2,0,0,0,0,0,0,0,0,0
g14638.t1,0,0,0,0,9,0,0,0,0
g14639.t1,0,0,0,0,0,0,0,0,0
g1464.t1,1573,67,3325,1319,495,616,540,855,106
g14640.t1,84,0,0,0,132,18,0,0,34494
g14641.t1,0,0,0,0,154,1,0,0,17320
g14642.t1,0,0,0,0,1,0,0,0,276
g14643.t1,0,0,0,0,0,0,0,0,51
g14644.t1,0,0,0,0,0,0,0,0,4
g14645.t1,0,0,0,0,0,0,0,0,24
g14646.t1,12,0,19,16,90,94,45,106,220
g14647.t1,0,0,0,0,0,0,0,0,0
g14647.t2,0,0,0,0,0,0,0,0,0
g14648.t1,238,117,1271,278,2267,514,494,935,5141
g14649.t1,0,0,0,0,0,0,0,0,0
g14649.t2,0,0,0,0,0,0,0,0,0
g14649.t3,0,0,0,0,0,0,0,0,0
g1465.t1,954,245,3211,1055,367,258,199,672,102
g14650.t1,0,0,0,0,8,36,19,10,18
g14651.t1,0,0,0,0,0,0,0,0,20
g14652.t1,67,152,179,185,144,140,79,112,333
g14653.t1,1157,951,3088,2296,570,602,471,591,290
g14654.t1,0,0,0,0,0,0,0,0,0
g14654.t2,0,0,0,0,0,0,0,0,0
g14654.t3,0,0,0,0,0,0,0,0,0
g14654.t4,0,0,0,0,0,0,0,0,0
g14654.t5,0,0,0,0,0,0,0,0,0
g14655.t1,1382,1778,1824,1923,2573,2874,3179,2724,2423
g14656.t1,0,0,0,0,0,53,1,0,1
g14657.t1,211,635,1125,235,333,612,1029,625,298
g14658.t1,2313,16268,5711,4862,1051,848,801,1865,22
g14659.t1,0,0,0,16,86,125,19,0,0
g1466.t1,0,0,0,0,0,0,0,0,0
g14660.t1,0,0,0,0,19,90,78,28,0
g14661.t1,201,2147,897,1105,185,70,0,58,203
g14662.t1,257,348,303,275,721,667,1217,879,611
g14663.t1,0,0,0,0,79,16,57,77,551
g14664.t1,460,404,545,423,423,404,507,399,933
g14665.t1,7113,7774,22985,12466,2182,3401,2894,4578,3143
g14666.t1,0,0,0,0,0,0,0,0,0
g14666.t2,0,0,0,0,0,0,0,0,0
g14667.t1,992,533,1371,552,1348,1357,884,1213,1765
g14668.t1,290,0,525,236,638,455,377,495,1425
g14669.t1,0,0,0,0,30,22,34,27,41
g1467.t1,0,0,0,0,5,0,0,0,0
g14670.t1,0,0,0,23,238,32,2,0,16
g14670.t2,0,0,76,46,283,87,26,12,114
g14671.t1,0,0,98,21,9,11,412,10,6
g14672.t1,51,0,12,0,12,39,11750,8,0
g14673.t1,18,0,0,0,0,44,22,43,34
g14674.t1,1838,1030,4078,2172,3978,3307,4685,2885,3555
g14675.t1,0,0,0,0,0,5,0,8,0
g14675.t2,0,0,0,0,0,0,0,0,0
g14675.t3,0,0,0,0,0,0,0,0,0
g14676.t1,0,0,0,0,33,1,19,0,25
g14677.t1,0,0,0,24,26,13,32,14,8
g14678.t1,0,0,0,0,18,0,0,0,42
g14679.t1,0,0,0,0,0,0,0,0,0
g1468.t1,0,0,0,0,0,11,45,23,2
g14680.t1,0,0,0,0,0,0,0,0,0
g14680.t2,0,0,0,0,0,0,0,0,0
g14681.t1,4872,2965,9630,6797,7762,5449,10451,5706,7481
g14682.t1,708,1759,440,1589,1104,1318,133,580,630
g14683.t1,70,203,611,288,4097,1432,32,3092,3050
g14684.t1,0,0,0,0,0,0,0,0,19
g14685.t1,0,0,0,0,6,0,0,0,0
g14686.t1,0,0,0,0,0,0,0,0,0
g14687.t1,50,0,0,0,1,16,22,12,7
g14688.t1,0,0,0,0,0,0,0,0,0
g14689.t1,0,0,0,0,12,22,23,8,0
g1469.t1,0,0,0,0,0,0,0,0,0
g14690.t1,0,0,0,0,3,0,2,23,11
g14690.t2,0,0,0,0,16,25,21,17,28
g14691.t1,0,0,51,0,17,69,28,102,6
g14691.t2,77,499,123,513,760,894,830,600,337
g14692.t1,0,0,0,0,0,0,10,0,0
g14693.t1,357,0,335,399,67,415,398,81,30
g14694.t1,0,0,0,0,0,4,0,0,0
g14694.t2,0,0,0,0,0,0,0,0,0
g14695.t1,9,0,0,65,32,5,34,62,173
g14696.t1,6148,5778,14172,9473,10465,9861,12316,7785,13479
g14697.t1,734,65,4870,728,1880,1214,268,1997,1818
g14698.t1,0,0,96,0,0,5,0,267,161
g14699.t1,6557,5863,11682,11530,3173,5074,8650,4900,1556
g147.t1,946,1434,831,1132,1761,1495,1463,1370,3703
g1470.t1,0,0,0,0,1,0,0,0,8
g14700.t1,288,25,960,476,1154,425,507,729,852
g14701.t1,130,134,96,14,25,38,287,135,117
g14702.t1,0,0,0,0,0,0,0,0,0
g14702.t2,0,0,0,0,0,0,0,0,0
g14703.t1,0,0,0,170,154,0,145,0,333
g14704.t1,7143,6477,10139,5964,10659,8893,7899,10673,8085
g14705.t1,2002,1302,2053,2009,3427,2705,3694,2868,3423
g14706.t1,0,0,0,0,6,0,0,18,27
g14706.t2,5,0,0,0,10,8,18,16,49
g14707.t1,41311,30186,59802,53077,105014,52960,65368,62072,125931
g14708.t1,5538,2049,6389,5711,9282,5885,14331,5547,3786
g14709.t1,0,0,0,0,107,266,260,133,101
g1471.t1,711,138,2103,1648,891,718,293,1409,1345
g14710.t1,530,115,1214,1067,2637,1010,1052,1432,6153
g14711.t1,0,0,0,0,0,0,0,0,0
g14711.t2,0,0,0,0,0,0,0,0,0
g14711.t3,0,0,0,0,0,0,0,0,0
g14711.t4,0,0,0,0,0,0,0,0,0
g14711.t5,0,0,0,0,0,0,0,0,0
g14712.t1,0,0,0,0,0,0,0,0,0
g14713.t1,0,0,0,0,0,0,0,0,10
g14714.t1,0,0,0,0,0,0,0,0,0
